station,station_name,valid(UTC),tmpf,dwpf,sknt,drct,vis1_coeff,precip
DEN,DENVER INTNL ARPT,2015-07-15 09:00,58,53,3,156,0.097,0,
DFW,DALLAS/FT WORTH,2015-07-15 09:00,80,68,8,196,0.086,0,
LAX,LOS ANGELES INTL,2015-07-15 09:00,66,61,4,95,0.171,0,
ORD,CHICAGO O HARE,2015-07-15 09:00,60,51,8,21,0.08,0,
ORD,CHICAGO O HARE,2015-07-15 10:00,59,51,6,30,0.079,0,
ATL,ATLANTA INTL ARPT,2015-07-15 10:00,70,67,4,301,0.09,0,
DFW,DALLAS/FT WORTH,2015-07-15 10:00,79,68,8,197,0.11,0,
DEN,DENVER INTNL ARPT,2015-07-15 10:00,61,55,1,278,0.1,0,
LAX,LOS ANGELES INTL,2015-07-15 10:00,67,60,3,169,0.19,0,
DEN,DENVER INTNL ARPT,2015-07-15 11:00,56,52,4,192,0.086,0,
ORD,CHICAGO O HARE,2015-07-15 11:00,59,52,8,36,0.084,0,
LAX,LOS ANGELES INTL,2015-07-15 11:00,66,60,3,156,0.169,0,
DFW,DALLAS/FT WORTH,2015-07-15 11:00,77,69,7,186,0.093,0,
ATL,ATLANTA INTL ARPT,2015-07-15 11:00,70,66,7,290,0.083,0,
ORD,CHICAGO O HARE,2015-07-15 12:00,61,53,7,20,0.08,0,
DFW,DALLAS/FT WORTH,2015-07-15 12:00,77,68,7,170,0.122,0,
DEN,DENVER INTNL ARPT,2015-07-15 12:00,54,52,3,170,0.104,0,
LAX,LOS ANGELES INTL,2015-07-15 12:00,66,59,6,118,0.16,0,
ATL,ATLANTA INTL ARPT,2015-07-15 12:00,72,67,8,275,0.074,0,
ATL,ATLANTA INTL ARPT,2015-07-15 13:00,75,68,10,277,0.072,0,
DEN,DENVER INTNL ARPT,2015-07-15 13:00,63,56,3,208,0.078,0,
LAX,LOS ANGELES INTL,2015-07-15 13:00,66,59,2,37,0.155,0,
DFW,DALLAS/FT WORTH,2015-07-15 13:00,79,69,7,178,0.072,0,
ORD,CHICAGO O HARE,2015-07-15 13:00,62,53,9,15,0.094,0,
DEN,DENVER INTNL ARPT,2015-07-15 14:00,68,55,7,253,0.075,0,
ORD,CHICAGO O HARE,2015-07-15 14:00,66,56,8,39,0.09,0,
DFW,DALLAS/FT WORTH,2015-07-15 14:00,82,68,9,190,0.07,0,
LAX,LOS ANGELES INTL,2015-07-15 14:00,66,58,4,71,0.138,0,
ATL,ATLANTA INTL ARPT,2015-07-15 14:00,76,70,11,275,0.092,0,
DEN,DENVER INTNL ARPT,2015-07-15 15:00,71,56,3,297,0.075,0,
ATL,ATLANTA INTL ARPT,2015-07-15 15:00,81,72,8,285,0.087,0,
LAX,LOS ANGELES INTL,2015-07-15 15:00,67,58,9,92,0.128,0,
ORD,CHICAGO O HARE,2015-07-15 15:00,68,57,9,21,0.1,0,
DFW,DALLAS/FT WORTH,2015-07-15 15:00,85,69,9,194,0.072,0,
LAX,LOS ANGELES INTL,2015-07-15 16:00,69,58,3,112,0.128,0,
DFW,DALLAS/FT WORTH,2015-07-15 16:00,86,69,6,178,0.074,0,
ORD,CHICAGO O HARE,2015-07-15 16:00,69,58,5,29,0.092,0,
DEN,DENVER INTNL ARPT,2015-07-15 16:00,76,55,3,310,0.068,0,
ATL,ATLANTA INTL ARPT,2015-07-15 16:00,85,74,9,309,0.096,0,
ATL,ATLANTA INTL ARPT,2015-07-15 17:00,86,71,15,321,0.1,0,
LAX,LOS ANGELES INTL,2015-07-15 17:00,72,58,6,144,0.138,0,
ORD,CHICAGO O HARE,2015-07-15 17:00,71,58,11,35,0.093,0,
DEN,DENVER INTNL ARPT,2015-07-15 17:00,78,49,6,309,0.056,0,
DFW,DALLAS/FT WORTH,2015-07-15 17:00,88,69,7,178,0.081,0,
LAX,LOS ANGELES INTL,2015-07-15 18:00,74,57,2,31,0.126,0,
DFW,DALLAS/FT WORTH,2015-07-15 18:00,90,68,7,190,0.072,0,
ORD,CHICAGO O HARE,2015-07-15 18:00,72,56,7,37,0.09,0,
DEN,DENVER INTNL ARPT,2015-07-15 18:00,81,50,9,31,0.06,0,
ATL,ATLANTA INTL ARPT,2015-07-15 18:00,88,72,12,289,0.096,0,
ATL,ATLANTA INTL ARPT,2015-07-15 19:00,87,71,10,314,0.108,0,
DEN,DENVER INTNL ARPT,2015-07-15 19:00,84,50,8,16,0.058,0,
LAX,LOS ANGELES INTL,2015-07-15 19:00,73,59,12,249,0.125,0,
ORD,CHICAGO O HARE,2015-07-15 19:00,74,54,9,28,0.079,0,
DFW,DALLAS/FT WORTH,2015-07-15 19:00,93,69,10,169,0.062,0,
ORD,CHICAGO O HARE,2015-07-15 20:00,74,50,8,27,0.089,0,
LAX,LOS ANGELES INTL,2015-07-15 20:00,74,59,12,233,0.124,0,
DEN,DENVER INTNL ARPT,2015-07-15 20:00,85,49,7,306,0.064,0,
DFW,DALLAS/FT WORTH,2015-07-15 20:00,94,68,5,175,0.069,0,
ATL,ATLANTA INTL ARPT,2015-07-15 20:00,88,72,8,327,0.101,0,
ATL,ATLANTA INTL ARPT,2015-07-15 21:00,81,73,6,290,0.084,0,
DFW,DALLAS/FT WORTH,2015-07-15 21:00,96,64,11,203,0.061,0,
DEN,DENVER INTNL ARPT,2015-07-15 21:00,84,47,5,108,0.065,0,
LAX,LOS ANGELES INTL,2015-07-15 21:00,73,59,10,261,0.122,0,
ORD,CHICAGO O HARE,2015-07-15 21:00,73,50,8,40,0.083,0,
DFW,DALLAS/FT WORTH,2015-07-15 22:00,95,65,12,180,0.067,0,
DEN,DENVER INTNL ARPT,2015-07-15 22:00,86,47,4,271,0.066,0,
LAX,LOS ANGELES INTL,2015-07-15 22:00,73,59,,,,0,
ORD,CHICAGO O HARE,2015-07-15 22:00,72,49,6,53,0.085,0,
ATL,ATLANTA INTL ARPT,2015-07-15 22:00,87,73,5,308,0.106,0,
LAX,LOS ANGELES INTL,2015-07-15 23:00,71,60,12,252,0.131,0,
DFW,DALLAS/FT WORTH,2015-07-15 23:00,94,64,11,181,0.069,0,
ATL,ATLANTA INTL ARPT,2015-07-15 23:00,88,67,10,359,0.085,0,
ORD,CHICAGO O HARE,2015-07-15 23:00,69,48,9,65,0.085,0,
DEN,DENVER INTNL ARPT,2015-07-15 23:00,83,46,6,335,0.062,0,
ORD,CHICAGO O HARE,2015-07-16 00:00,68,45,9,55,0.084,0,
LAX,LOS ANGELES INTL,2015-07-16 00:00,72,60,12,267,0.131,0,
DEN,DENVER INTNL ARPT,2015-07-16 00:00,69,56,10,182,0.078,0,
DFW,DALLAS/FT WORTH,2015-07-16 00:00,93,64,10,178,0.102,0,
ATL,ATLANTA INTL ARPT,2015-07-16 00:00,87,67,9,14,0.094,0,
ATL,ATLANTA INTL ARPT,2015-07-16 01:00,83,69,4,326,0.116,0,
ORD,CHICAGO O HARE,2015-07-16 01:00,66,46,9,60,0.082,0,
DEN,DENVER INTNL ARPT,2015-07-16 01:00,70,58,12,153,0.067,0,
DFW,DALLAS/FT WORTH,2015-07-16 01:00,91,63,10,174,0.064,0,
LAX,LOS ANGELES INTL,2015-07-16 01:00,70,61,10,258,0.134,0,
LAX,LOS ANGELES INTL,2015-07-16 02:00,68,62,12,266,0.154,0,
DEN,DENVER INTNL ARPT,2015-07-16 02:00,68,58,9,153,0.072,0,
DFW,DALLAS/FT WORTH,2015-07-16 02:00,89,65,10,159,0.057,0,
ORD,CHICAGO O HARE,2015-07-16 02:00,64,47,9,52,0.084,0,
ATL,ATLANTA INTL ARPT,2015-07-16 02:00,80,70,6,319,0.121,0,
DEN,DENVER INTNL ARPT,2015-07-16 03:00,65,56,3,161,0.066,0,
ATL,ATLANTA INTL ARPT,2015-07-16 03:00,78,70,5,319,0.136,0,
LAX,LOS ANGELES INTL,2015-07-16 03:00,67,62,12,271,0.156,0,
DFW,DALLAS/FT WORTH,2015-07-16 03:00,88,66,9,157,0.056,0,
ORD,CHICAGO O HARE,2015-07-16 03:00,63,47,8,54,0.079,0,
ORD,CHICAGO O HARE,2015-07-16 04:00,62,51,6,58,0.09,0,
DEN,DENVER INTNL ARPT,2015-07-16 04:00,65,57,9,248,0.077,0,
LAX,LOS ANGELES INTL,2015-07-16 04:00,66,62,7,248,0.171,0,
DFW,DALLAS/FT WORTH,2015-07-16 04:00,86,66,10,165,0.06,0,
ATL,ATLANTA INTL ARPT,2015-07-16 04:00,78,69,5,319,0.132,0,
ATL,ATLANTA INTL ARPT,2015-07-16 05:00,76,70,6,312,0.142,0,
DEN,DENVER INTNL ARPT,2015-07-16 05:00,64,55,3,93,0.08,0,
ORD,CHICAGO O HARE,2015-07-16 05:00,62,53,1,72,0.093,0,
LAX,LOS ANGELES INTL,2015-07-16 05:00,,,8,247,0.154,,
DFW,DALLAS/FT WORTH,2015-07-16 05:00,84,68,8,162,0.061,0,
DFW,DALLAS/FT WORTH,2015-07-16 06:00,83,68,8,174,0.062,0,
DEN,DENVER INTNL ARPT,2015-07-16 06:00,59,52,7,135,0.081,0,
ORD,CHICAGO O HARE,2015-07-16 06:00,61,54,4,19,0.098,0,
LAX,LOS ANGELES INTL,2015-07-16 06:00,,,7,242,0.172,,
ATL,ATLANTA INTL ARPT,2015-07-16 06:00,76,69,5,342,0.143,0,
DFW,DALLAS/FT WORTH,2015-07-16 07:00,82,67,8,175,0.06,0,
ORD,CHICAGO O HARE,2015-07-16 07:00,60,54,4,16,0.102,0,
LAX,LOS ANGELES INTL,2015-07-16 07:00,65,60,5,245,0.144,0,
DEN,DENVER INTNL ARPT,2015-07-16 07:00,58,53,10,154,0.081,0,
ATL,ATLANTA INTL ARPT,2015-07-16 07:00,75,69,4,324,0.155,0,
DEN,DENVER INTNL ARPT,2015-07-16 08:00,59,53,12,174,0.085,0,
DFW,DALLAS/FT WORTH,2015-07-16 08:00,79,68,8,182,0.069,0,
ORD,CHICAGO O HARE,2015-07-16 08:00,61,54,3,14,0.098,0,
LAX,LOS ANGELES INTL,2015-07-16 08:00,64,60,3,239,0.155,0,
ATL,ATLANTA INTL ARPT,2015-07-16 08:00,75,69,3,346,0.142,0,
ATL,ATLANTA INTL ARPT,2015-07-16 09:00,75,67,7,6,0.117,0,
LAX,LOS ANGELES INTL,2015-07-16 09:00,67,61,3,354,0.151,0,
ORD,CHICAGO O HARE,2015-07-16 09:00,61,54,3,22,0.103,0,
DEN,DENVER INTNL ARPT,2015-07-16 09:00,57,52,11,173,0.094,0,
DFW,DALLAS/FT WORTH,2015-07-16 09:00,81,68,12,198,0.067,0,
DFW,DALLAS/FT WORTH,2015-07-16 10:00,79,69,9,200,0.073,0,
LAX,LOS ANGELES INTL,2015-07-16 10:00,66,61,2,51,0.171,0,
DEN,DENVER INTNL ARPT,2015-07-16 10:00,58,50,7,200,0.071,0,
ORD,CHICAGO O HARE,2015-07-16 10:00,62,56,3,73,0.104,0,
ATL,ATLANTA INTL ARPT,2015-07-16 10:00,75,67,5,25,0.135,0,
ORD,CHICAGO O HARE,2015-07-16 11:00,63,57,3,98,0.104,0,
LAX,LOS ANGELES INTL,2015-07-16 11:00,67,61,2,81,0.192,0,
DFW,DALLAS/FT WORTH,2015-07-16 11:00,77,68,7,183,0.076,0,
ATL,ATLANTA INTL ARPT,2015-07-16 11:00,75,67,4,59,0.112,0,
DEN,DENVER INTNL ARPT,2015-07-16 11:00,60,49,11,216,0.068,0,
DFW,DALLAS/FT WORTH,2015-07-16 12:00,76,69,8,181,0.098,0,
LAX,LOS ANGELES INTL,2015-07-16 12:00,66,60,4,132,0.188,0,
ATL,ATLANTA INTL ARPT,2015-07-16 12:00,77,66,5,67,0.1,0,
DEN,DENVER INTNL ARPT,2015-07-16 12:00,61,48,8,221,0.069,0,
ORD,CHICAGO O HARE,2015-07-16 12:00,64,58,2,110,0.115,0,
ORD,CHICAGO O HARE,2015-07-16 13:00,66,59,4,155,0.141,0,
DFW,DALLAS/FT WORTH,2015-07-16 13:00,79,67,13,199,0.079,0,
LAX,LOS ANGELES INTL,2015-07-16 13:00,66,60,4,92,0.182,0,
DEN,DENVER INTNL ARPT,2015-07-16 13:00,65,47,10,201,0.066,0,
ATL,ATLANTA INTL ARPT,2015-07-16 13:00,79,67,6,92,0.096,0,
ORD,CHICAGO O HARE,2015-07-16 14:00,67,61,4,179,0.281,0,
DFW,DALLAS/FT WORTH,2015-07-16 14:00,82,68,11,222,0.068,0,
DEN,DENVER INTNL ARPT,2015-07-16 14:00,69,48,10,227,0.066,0,
LAX,LOS ANGELES INTL,2015-07-16 14:00,67,60,3,91,0.16,0,
ATL,ATLANTA INTL ARPT,2015-07-16 14:00,81,67,5,102,0.084,0,
LAX,LOS ANGELES INTL,2015-07-16 15:00,70,59,3,101,0.142,0,
DEN,DENVER INTNL ARPT,2015-07-16 15:00,76,47,7,246,0.062,0,
ORD,CHICAGO O HARE,2015-07-16 15:00,65,61,6,195,0.137,0,
ATL,ATLANTA INTL ARPT,2015-07-16 15:00,82,69,5,97,0.087,0,
DFW,DALLAS/FT WORTH,2015-07-16 15:00,85,67,11,197,0.065,0,
DEN,DENVER INTNL ARPT,2015-07-16 16:00,81,41,5,266,0.066,0,
ORD,CHICAGO O HARE,2015-07-16 16:00,68,62,7,153,0.166,0,
LAX,LOS ANGELES INTL,2015-07-16 16:00,71,59,3,106,0.145,0,
DFW,DALLAS/FT WORTH,2015-07-16 16:00,89,67,13,215,0.069,0,
ATL,ATLANTA INTL ARPT,2015-07-16 16:00,84,68,4,93,0.082,0,
DEN,DENVER INTNL ARPT,2015-07-16 17:00,84,37,,,0.064,0,
ORD,CHICAGO O HARE,2015-07-16 17:00,70,63,9,154,0.149,0,
LAX,LOS ANGELES INTL,2015-07-16 17:00,71,61,6,240,0.178,0,
DFW,DALLAS/FT WORTH,2015-07-16 17:00,91,69,9,190,0.062,0,
ATL,ATLANTA INTL ARPT,2015-07-16 17:00,85,67,5,51,0.1,0,
DFW,DALLAS/FT WORTH,2015-07-16 18:00,92,67,12,203,0.059,0,
LAX,LOS ANGELES INTL,2015-07-16 18:00,73,60,8,250,0.187,0,
DEN,DENVER INTNL ARPT,2015-07-16 18:00,85,35,7,196,0.065,0,
ORD,CHICAGO O HARE,2015-07-16 18:00,70,60,12,154,0.129,0,
ATL,ATLANTA INTL ARPT,2015-07-16 18:00,89,66,3,20,0.072,0,
DEN,DENVER INTNL ARPT,2015-07-16 19:00,89,40,8,252,0.058,0,
LAX,LOS ANGELES INTL,2015-07-16 19:00,73,61,9,231,0.199,0,
ORD,CHICAGO O HARE,2015-07-16 19:00,71,61,13,154,0.144,0,
DFW,DALLAS/FT WORTH,2015-07-16 19:00,94,66,10,200,0.065,0,
ATL,ATLANTA INTL ARPT,2015-07-16 19:00,88,67,4,263,0.088,0,
DFW,DALLAS/FT WORTH,2015-07-16 20:00,95,67,13,160,0.05,0,
DEN,DENVER INTNL ARPT,2015-07-16 20:00,88,38,7,291,0.057,0,
ATL,ATLANTA INTL ARPT,2015-07-16 20:00,88,67,4,264,0.091,0,
ORD,CHICAGO O HARE,2015-07-16 20:00,74,62,11,170,0.142,0,
LAX,LOS ANGELES INTL,2015-07-16 20:00,73,61,11,259,0.165,0,
ORD,CHICAGO O HARE,2015-07-16 21:00,74,62,11,152,0.112,0,
DEN,DENVER INTNL ARPT,2015-07-16 21:00,88,36,12,288,0.065,0,
DFW,DALLAS/FT WORTH,2015-07-16 21:00,96,65,15,165,0.055,0,
LAX,LOS ANGELES INTL,2015-07-16 21:00,74,61,12,249,0.144,0,
ATL,ATLANTA INTL ARPT,2015-07-16 21:00,88,68,5,284,0.087,0,
ORD,CHICAGO O HARE,2015-07-16 22:00,74,65,3,184,0.236,0,
DFW,DALLAS/FT WORTH,2015-07-16 22:00,96,63,11,165,0.05,0,
LAX,LOS ANGELES INTL,2015-07-16 22:00,71,60,14,262,0.137,0,
DEN,DENVER INTNL ARPT,2015-07-16 22:00,86,36,5,257,0.065,0,
ATL,ATLANTA INTL ARPT,2015-07-16 22:00,85,68,5,267,0.091,0,
DFW,DALLAS/FT WORTH,2015-07-16 23:00,96,60,13,170,0.051,0,
DEN,DENVER INTNL ARPT,2015-07-16 23:00,86,41,13,343,0.06,0,
LAX,LOS ANGELES INTL,2015-07-16 23:00,72,60,14,268,0.133,0,
ATL,ATLANTA INTL ARPT,2015-07-16 23:00,85,66,3,270,0.09,0,
ORD,CHICAGO O HARE,2015-07-16 23:00,70,67,6,130,1.511,0.02,
DEN,DENVER INTNL ARPT,2015-07-17 00:00,84,37,2,47,0.061,0,
LAX,LOS ANGELES INTL,2015-07-17 00:00,70,60,13,261,0.141,0,
ATL,ATLANTA INTL ARPT,2015-07-17 00:00,84,68,3,268,0.092,0,
DFW,DALLAS/FT WORTH,2015-07-17 00:00,94,62,11,169,0.05,0,
ORD,CHICAGO O HARE,2015-07-17 00:00,70,68,10,124,0.282,0,
LAX,LOS ANGELES INTL,2015-07-17 01:00,70,61,11,265,0.137,0,
ORD,CHICAGO O HARE,2015-07-17 01:00,68,66,8,101,0.405,0,
DEN,DENVER INTNL ARPT,2015-07-17 01:00,83,40,3,224,0.078,0,
DFW,DALLAS/FT WORTH,2015-07-17 01:00,91,65,10,166,0.06,0,
ATL,ATLANTA INTL ARPT,2015-07-17 01:00,83,69,5,303,0.096,0,
DFW,DALLAS/FT WORTH,2015-07-17 02:00,90,65,10,165,0.059,0,
ORD,CHICAGO O HARE,2015-07-17 02:00,68,66,11,107,0.258,0,
DEN,DENVER INTNL ARPT,2015-07-17 02:00,77,41,4,104,0.076,0,
LAX,LOS ANGELES INTL,2015-07-17 02:00,67,61,11,263,0.148,0,
ATL,ATLANTA INTL ARPT,2015-07-17 02:00,80,70,5,309,0.116,0,
LAX,LOS ANGELES INTL,2015-07-17 03:00,66,61,10,246,0.146,0,
DEN,DENVER INTNL ARPT,2015-07-17 03:00,71,44,8,183,0.156,0,
DFW,DALLAS/FT WORTH,2015-07-17 03:00,88,67,10,166,0.055,0,
ORD,CHICAGO O HARE,2015-07-17 03:00,69,67,9,110,2.386,0,
ATL,ATLANTA INTL ARPT,2015-07-17 03:00,83,67,6,19,0.103,0,
DEN,DENVER INTNL ARPT,2015-07-17 04:00,68,46,13,165,0.066,0,
LAX,LOS ANGELES INTL,2015-07-17 04:00,66,61,8,261,0.158,0,
ORD,CHICAGO O HARE,2015-07-17 04:00,70,69,2,183,0.483,0,
ATL,ATLANTA INTL ARPT,2015-07-17 04:00,81,67,7,27,0.116,0,
DFW,DALLAS/FT WORTH,2015-07-17 04:00,86,68,11,165,0.067,0,
ORD,CHICAGO O HARE,2015-07-17 05:00,71,70,4,173,0.493,0,
DFW,DALLAS/FT WORTH,2015-07-17 05:00,85,68,11,171,0.06,0,
DEN,DENVER INTNL ARPT,2015-07-17 05:00,65,47,10,166,0.074,0,
LAX,LOS ANGELES INTL,2015-07-17 05:00,65,61,8,261,0.182,0,
ATL,ATLANTA INTL ARPT,2015-07-17 05:00,81,67,7,36,0.101,0,
LAX,LOS ANGELES INTL,2015-07-17 06:00,65,61,7,263,0.154,0,
DEN,DENVER INTNL ARPT,2015-07-17 06:00,67,45,12,179,0.137,0,
DFW,DALLAS/FT WORTH,2015-07-17 06:00,83,68,9,177,0.083,0,
ORD,CHICAGO O HARE,2015-07-17 06:00,72,70,6,190,0.488,0,
ATL,ATLANTA INTL ARPT,2015-07-17 06:00,80,67,3,16,0.133,0,
DFW,DALLAS/FT WORTH,2015-07-17 07:00,83,68,8,167,0.065,0,
ATL,ATLANTA INTL ARPT,2015-07-17 07:00,79,67,5,49,0.105,0,
LAX,LOS ANGELES INTL,2015-07-17 07:00,65,61,8,264,0.157,0,
ORD,CHICAGO O HARE,2015-07-17 07:00,73,71,9,206,0.324,0,
DEN,DENVER INTNL ARPT,2015-07-17 07:00,66,47,12,205,0.071,0,
LAX,LOS ANGELES INTL,2015-07-17 08:00,66,61,6,290,0.169,0,
DFW,DALLAS/FT WORTH,2015-07-17 08:00,83,68,12,186,0.068,0,
DEN,DENVER INTNL ARPT,2015-07-17 08:00,62,46,9,192,0.068,0,
ORD,CHICAGO O HARE,2015-07-17 08:00,73,71,6,214,0.39,0,
ATL,ATLANTA INTL ARPT,2015-07-17 08:00,77,67,2,53,0.111,0,
LAX,LOS ANGELES INTL,2015-07-17 09:00,64,60,7,298,0.146,0,
ORD,CHICAGO O HARE,2015-07-17 09:00,73,71,6,234,0.261,0,
DEN,DENVER INTNL ARPT,2015-07-17 09:00,66,44,11,203,0.068,0,
DFW,DALLAS/FT WORTH,2015-07-17 09:00,82,69,15,195,0.073,0,
ATL,ATLANTA INTL ARPT,2015-07-17 09:00,78,67,2,357,0.127,0,
ORD,CHICAGO O HARE,2015-07-17 10:00,72,71,3,221,0.353,0,
LAX,LOS ANGELES INTL,2015-07-17 10:00,64,60,5,305,0.158,0,
DFW,DALLAS/FT WORTH,2015-07-17 10:00,80,70,14,189,0.075,0,
DEN,DENVER INTNL ARPT,2015-07-17 10:00,64,44,10,209,0.068,0,
ATL,ATLANTA INTL ARPT,2015-07-17 10:00,77,67,6,30,0.132,0,
DFW,DALLAS/FT WORTH,2015-07-17 11:00,79,70,11,190,0.085,0,
ORD,CHICAGO O HARE,2015-07-17 11:00,72,71,4,207,0.311,0,
DEN,DENVER INTNL ARPT,2015-07-17 11:00,64,43,10,216,0.07,0,
LAX,LOS ANGELES INTL,2015-07-17 11:00,64,60,6,312,0.163,0,
ATL,ATLANTA INTL ARPT,2015-07-17 11:00,77,67,6,39,0.111,0,
ORD,CHICAGO O HARE,2015-07-17 12:00,73,70,7,218,0.146,0,
LAX,LOS ANGELES INTL,2015-07-17 12:00,64,60,7,282,0.189,0,
ATL,ATLANTA INTL ARPT,2015-07-17 12:00,78,68,7,40,0.117,0,
DFW,DALLAS/FT WORTH,2015-07-17 12:00,79,70,10,200,0.08,0,
DEN,DENVER INTNL ARPT,2015-07-17 12:00,66,42,14,207,0.07,0,
DFW,DALLAS/FT WORTH,2015-07-17 13:00,81,69,12,205,0.08,0,
ORD,CHICAGO O HARE,2015-07-17 13:00,76,71,10,237,0.14,0,
DEN,DENVER INTNL ARPT,2015-07-17 13:00,69,42,14,207,0.079,0,
LAX,LOS ANGELES INTL,2015-07-17 13:00,64,60,5,262,0.188,0,
ATL,ATLANTA INTL ARPT,2015-07-17 13:00,79,69,7,54,0.131,0,
DEN,DENVER INTNL ARPT,2015-07-17 14:00,75,43,13,214,0.071,0,
LAX,LOS ANGELES INTL,2015-07-17 14:00,65,61,2,252,0.233,0,
ORD,CHICAGO O HARE,2015-07-17 14:00,79,73,10,257,0.143,0,
DFW,DALLAS/FT WORTH,2015-07-17 14:00,83,68,12,209,0.072,0,
ATL,ATLANTA INTL ARPT,2015-07-17 14:00,,70,4,52,0.219,0,
ATL,ATLANTA INTL ARPT,2015-07-17 15:00,87,67,3,9,0.095,0,
LAX,LOS ANGELES INTL,2015-07-17 15:00,65,61,1,334,0.265,0,
DEN,DENVER INTNL ARPT,2015-07-17 15:00,82,43,11,222,0.075,0,
DFW,DALLAS/FT WORTH,2015-07-17 15:00,87,69,13,202,0.082,0,
ORD,CHICAGO O HARE,2015-07-17 15:00,81,74,8,248,0.133,0,
ATL,ATLANTA INTL ARPT,2015-07-17 16:00,88,68,6,64,0.107,0,
DFW,DALLAS/FT WORTH,2015-07-17 16:00,89,69,13,197,0.083,0,
ORD,CHICAGO O HARE,2015-07-17 16:00,84,75,8,257,0.134,0,
DEN,DENVER INTNL ARPT,2015-07-17 16:00,86,38,6,219,0.074,0,
LAX,LOS ANGELES INTL,2015-07-17 16:00,68,60,2,201,0.233,0,
DFW,DALLAS/FT WORTH,2015-07-17 17:00,90,68,10,201,0.074,0,
ORD,CHICAGO O HARE,2015-07-17 17:00,87,75,5,266,0.117,0,
DEN,DENVER INTNL ARPT,2015-07-17 17:00,89,34,4,247,0.067,0,
LAX,LOS ANGELES INTL,2015-07-17 17:00,70,61,7,252,0.205,0,
ATL,ATLANTA INTL ARPT,2015-07-17 17:00,92,72,2,69,0.099,0,
DEN,DENVER INTNL ARPT,2015-07-17 18:00,90,35,11,244,0.064,0,
LAX,LOS ANGELES INTL,2015-07-17 18:00,70,61,9,265,0.176,0,
DFW,DALLAS/FT WORTH,2015-07-17 18:00,93,68,10,186,0.064,0,
ORD,CHICAGO O HARE,2015-07-17 18:00,88,72,6,216,0.104,0,
ATL,ATLANTA INTL ARPT,2015-07-17 18:00,90,68,4,314,0.103,0,
ATL,ATLANTA INTL ARPT,2015-07-17 19:00,89,68,4,302,0.111,0,
ORD,CHICAGO O HARE,2015-07-17 19:00,89,72,7,242,0.104,0,
DFW,DALLAS/FT WORTH,2015-07-17 19:00,92,69,10,180,0.059,0,
LAX,LOS ANGELES INTL,2015-07-17 19:00,71,61,11,266,0.159,0,
DEN,DENVER INTNL ARPT,2015-07-17 19:00,92,34,7,220,0.063,0,
ATL,ATLANTA INTL ARPT,2015-07-17 20:00,90,69,2,170,0.116,0,
DFW,DALLAS/FT WORTH,2015-07-17 20:00,96,69,10,160,0.071,0,
ORD,CHICAGO O HARE,2015-07-17 20:00,91,72,,,0.101,0,
DEN,DENVER INTNL ARPT,2015-07-17 20:00,90,32,4,244,0.063,0,
LAX,LOS ANGELES INTL,2015-07-17 20:00,70,61,9,257,0.161,0,
LAX,LOS ANGELES INTL,2015-07-17 21:00,71,61,11,259,0.15,0,
DEN,DENVER INTNL ARPT,2015-07-17 21:00,89,33,2,225,0.07,0,
DFW,DALLAS/FT WORTH,2015-07-17 21:00,96,66,14,173,0.065,0,
ORD,CHICAGO O HARE,2015-07-17 21:00,90,72,7,239,0.103,0,
ATL,ATLANTA INTL ARPT,2015-07-17 21:00,93,71,3,297,0.111,0,
DFW,DALLAS/FT WORTH,2015-07-17 22:00,97,64,11,178,0.05,0,
DEN,DENVER INTNL ARPT,2015-07-17 22:00,86,37,11,256,0.074,0,
LAX,LOS ANGELES INTL,2015-07-17 22:00,71,61,11,258,0.138,0,
ORD,CHICAGO O HARE,2015-07-17 22:00,88,74,5,231,0.116,0,
ATL,ATLANTA INTL ARPT,2015-07-17 22:00,92,68,9,310,0.117,0,
ATL,ATLANTA INTL ARPT,2015-07-17 23:00,92,70,4,308,0.105,0,
DEN,DENVER INTNL ARPT,2015-07-17 23:00,86,39,10,86,0.061,0,
ORD,CHICAGO O HARE,2015-07-17 23:00,78,71,13,269,0.232,0,
DFW,DALLAS/FT WORTH,2015-07-17 23:00,96,66,10,170,0.057,0,
DEN,DENVER INTNL ARPT,2015-07-18 00:00,85,40,13,134,0.067,0,
ORD,CHICAGO O HARE,2015-07-18 00:00,84,69,3,3,0.1,0,
ATL,ATLANTA INTL ARPT,2015-07-18 00:00,90,69,4,253,0.11,0,
DFW,DALLAS/FT WORTH,2015-07-18 00:00,94,67,13,156,0.051,0,
DFW,DALLAS/FT WORTH,2015-07-18 01:00,92,68,14,153,0.069,0,
DEN,DENVER INTNL ARPT,2015-07-18 01:00,85,41,7,142,0.068,0,
ORD,CHICAGO O HARE,2015-07-18 01:00,82,71,2,288,0.1,0,
ATL,ATLANTA INTL ARPT,2015-07-18 01:00,89,68,,,0.132,0,
DFW,DALLAS/FT WORTH,2015-07-18 02:00,90,68,12,162,0.06,0,
ORD,CHICAGO O HARE,2015-07-18 02:00,79,71,1,192,0.107,0,
DEN,DENVER INTNL ARPT,2015-07-18 02:00,78,44,7,164,0.07,0,
ATL,ATLANTA INTL ARPT,2015-07-18 02:00,86,69,4,146,0.132,0,
ATL,ATLANTA INTL ARPT,2015-07-18 03:00,84,71,5,150,0.148,0,
ORD,CHICAGO O HARE,2015-07-18 03:00,79,70,0,246,0.121,0,
DFW,DALLAS/FT WORTH,2015-07-18 03:00,89,68,10,156,0.061,0,
